"from" "to"
399 6
103 167
412 60
523 293
380 502
329 425
441 618
354 164
165 409
563 502
618 472
220 410
113 410
159 519
48 562
133 134
215 435
439 452
305 208
483 5
271 312
539 184
619 372
362 68
537 533
139 76
408 415
368 59
71 241
316 486
442 17
460 33
460 30
172 327
350 414
524 586
304 606
407 600
479 344
315 302
251 614
601 372
583 142
91 101
463 489
95 505
64 65
294 355
374 523
514 363
615 498
600 76
180 561
414 415
223 309
240 157
316 404
344 53
554 167
578 477
304 96
71 556
316 442
304 295
222 463
273 316
335 417
356 362
208 298
535 337
176 286
36 145
287 176
92 272
182 459
27 408
180 599
76 94
255 37
338 567
268 199
159 178
139 336
562 29
351 234
241 72
232 404
56 289
260 555
368 64
154 164
586 501
520 421
234 351
340 341
48 29
151 380
516 422
4 469
298 305
174 551
232 541
490 345
260 112
573 278
215 605
164 154
223 605
535 242
393 304
106 476
258 277
20 104
100 509
490 545
412 82
90 204
452 145
618 441
500 489
542 326
13 1
327 172
165 365
478 572
241 93
576 481
210 471
438 508
289 544
56 130
356 44
