"from" "to"
59 6
12 19
34 37
54 57
33 53
1 33
6 11
14 41
41 1
43 48
52 57
57 12
13 25
38 58
24 18
47 62
28 7
46 39
1 38
38 31
4 3
36 2
21 22
32 40
42 28
49 32
36 57
57 63
50 52
33 32
28 8
51 39
9 30
5 23
61 24
9 55
39 24
52 49
9 26
37 22
53 20
60 15
25 55
60 17
10 52
35 29
31 40
11 36
48 34
55 60
4 31
36 4
22 62
62 14
40 56
53 47
44 43
18 37
62 45
36 10
47 22
57 59
23 58
60 45
14 27
27 5
25 27
25 23
55 16
