"from" "to"
54 42
32 31
38 3
7 77
61 23
7 61
23 10
10 51
45 60
60 52
52 12
12 50
71 36
24 47
53 57
6 37
37 51
50 24
29 50
76 40
66 28
1 59
48 34
14 19
11 14
28 11
34 54
30 48
56 32
43 56
21 51
75 21
4 18
18 2
2 43
69 67
67 8
64 65
65 5
49 64
25 7
57 72
72 25
74 9
9 17
13 22
62 26
19 30
45 36
5 46
17 73
77 3
42 32
27 16
57 58
15 74
26 55
16 70
8 62
20 27
70 47
73 20
55 13
63 15
40 41
39 1
44 4
73 68
59 76
68 44
35 39
47 22
41 49
41 31
31 41
63 35
46 33
43 53
47 69
58 8
